ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup,box_high,box_range,breakout,pivot_dryup
005930,삼성전자,206000,184248,+11.8%,0.7x,7/7,Double Bottom,172200.0,167200.0,208500.0,-1.2%,KOSPI,,,,,,,
000660,SK하이닉스,1027000,924940,+11.0%,0.7x,7/7,Double Bottom,836000.0,807000.0,1056000.0,-2.7%,KOSPI,,,,,,,
105560,KB금융,158300,151152,+4.7%,0.6x,6/7,Double Bottom,137700.0,141900.0,155700.0,+1.7%,KOSPI,,,,,,,
055550,신한지주,98700,93382,+5.7%,0.5x,6/7,Double Bottom + Pivot Setup,88500.0,87700.0,97900.0,+0.8%,KOSPI,98900.0,-0.2%,0.7x avg,,,,
086790,하나금융지주,119500,113986,+4.8%,0.8x,6/7,Double Bottom,105500.0,106000.0,114500.0,+4.4%,KOSPI,,,,,,,
005490,POSCO홀딩스,369000,358140,+3.0%,0.7x,6/7,Double Bottom,321500.0,325000.0,353500.0,+4.4%,KOSPI,,,,,,,
316140,우리금융지주,34150,33786,+1.1%,0.9x,6/7,Double Bottom,31550.0,31700.0,33900.0,+0.7%,KOSPI,,,,,,,
047810,한국항공우주,199900,178182,+12.2%,0.8x,7/7,Double Bottom,158500.0,164700.0,202000.0,-1.0%,KOSPI,,,,,,,
003670,포스코퓨처엠,217500,215918,+0.7%,0.5x,6/7,Double Bottom,185200.0,186400.0,215500.0,+0.9%,KOSPI,,,,,,,
066570,LG전자,118400,114278,+3.6%,0.8x,6/7,Double Bottom,109000.0,105600.0,120000.0,-1.3%,KOSPI,,,,,,,
071050,한국금융지주,241500,229286,+5.3%,0.7x,6/7,Double Bottom,206500.0,202500.0,241000.0,+0.2%,KOSPI,,,,,,,
016360,삼성증권,106800,97266,+9.8%,0.8x,6/7,Double Bottom,88000.0,92400.0,102300.0,+4.4%,KOSPI,,,,,,,
001440,대한전선,31700,30302,+4.6%,2.0x,6/7,Double Bottom,26050.0,26700.0,30800.0,+2.9%,KOSPI,,,,,,,
004020,현대제철,40400,35345,+14.3%,1.1x,6/7,Double Bottom,33750.0,33450.0,39750.0,+1.6%,KOSPI,,,,,,,
036570,엔씨소프트,240000,221072,+8.6%,2.0x,7/7,Flat Base Breakout,,,,,KOSPI,,,,236000.0,13.7%,+1.7%,False
353200,대덕전자,89900,68550,+31.1%,1.0x,7/7,Pivot Setup,,,,,KOSPI,91500.0,-1.7%,0.8x avg,,,,
000990,DB하이텍,94800,91564,+3.5%,1.3x,6/7,Double Bottom,77300.0,77900.0,95000.0,-0.2%,KOSPI,,,,,,,
103590,일진전기,81000,75198,+7.7%,1.5x,6/7,Double Bottom,72400.0,69500.0,82600.0,-1.9%,KOSPI,,,,,,,
017800,현대엘리베이터,94800,92962,+2.0%,1.8x,6/7,Flat Base Breakout,,,,,KOSPI,,,,90900.0,9.8%,+4.3%,True
012510,더존비즈온,119300,109560,+8.9%,0.2x,7/7,Pivot Setup,,,,,KOSPI,119600.0,-0.3%,0.1x avg,,,,
139130,iM금융지주,18080,17460,+3.5%,1.2x,6/7,Pivot Setup,,,,,KOSPI,17700.0,+2.1%,0.8x avg,,,,
028670,팬오션,5360,5111,+4.9%,1.8x,6/7,Double Bottom,5000.0,4820.0,5330.0,+0.6%,KOSPI,,,,,,,
395400,SK리츠,6450,5914,+9.1%,0.9x,7/7,Pivot Setup,,,,,KOSPI,6540.0,-1.4%,0.6x avg,,,,
030610,교보증권,13020,12780,+1.9%,1.3x,6/7,Double Bottom,11600.0,11400.0,13280.0,-2.0%,KOSPI,,,,,,,
330590,롯데리츠,4770,4604,+3.6%,0.8x,7/7,Pivot Setup,,,,,KOSPI,4850.0,-1.6%,0.7x avg,,,,
000400,롯데손해보험,2185,2031,+7.6%,1.2x,6/7,Double Bottom,1918.0,2000.0,2150.0,+1.6%,KOSPI,,,,,,,
000430,대원강업,4325,4072,+6.2%,2.1x,6/7,Flat Base Breakout,,,,,KOSPI,,,,4195.0,10.1%,+3.1%,False
317400,자이에스앤디,4460,4395,+1.5%,1.8x,6/7,Double Bottom,4100.0,4035.0,4570.0,-2.4%,KOSPI,,,,,,,
014790,HL D&I,3530,3278,+7.7%,1.2x,6/7,Double Bottom,3115.0,3245.0,3620.0,-2.5%,KOSPI,,,,,,,
012280,영화금속,1071,1020,+4.9%,4.7x,6/7,Double Bottom,1011.0,1001.0,1086.0,-1.4%,KOSPI,,,,,,,
067390,아스트,791,743,+6.4%,1.9x,6/7,Double Bottom,733.0,702.0,807.0,-2.0%,KOSDAQ,,,,,,,
353810,이지바이오,7310,7237,+1.0%,1.0x,6/7,Double Bottom,6600.0,6840.0,7220.0,+1.2%,KOSDAQ,,,,,,,
405100,큐알티,19580,17306,+13.1%,5.5x,6/7,Double Bottom,14340.0,14850.0,18800.0,+4.1%,KOSDAQ,,,,,,,
289080,SV인베스트먼트,3680,3439,+7.0%,0.7x,7/7,Double Bottom,3065.0,3190.0,3660.0,+0.5%,KOSDAQ,,,,,,,
008830,대동기어,21650,21213,+2.1%,0.9x,6/7,Double Bottom,18300.0,19120.0,21750.0,-0.5%,KOSDAQ,,,,,,,
192410,오늘이엔엠,7770,3099,+150.7%,0.5x,6/7,Pivot Setup,,,,,KOSDAQ,7620.0,+2.0%,0.8x avg,,,,
040300,YTN,3415,3371,+1.3%,6.3x,6/7,Double Bottom,3055.0,3010.0,3400.0,+0.4%,KOSDAQ,,,,,,,
095190,이엠코리아,2395,2333,+2.6%,1.1x,6/7,Double Bottom,2085.0,2175.0,2380.0,+0.6%,KOSDAQ,,,,,,,
065450,빅텍,5410,4695,+15.2%,0.8x,6/7,Double Bottom,4780.0,4600.0,5290.0,+2.3%,KOSDAQ,,,,,,,
339950,아이비김영,2510,2298,+9.2%,1.0x,6/7,Pivot Setup,,,,,KOSDAQ,2520.0,-0.4%,0.7x avg,,,,
011370,서한,1039,1024,+1.4%,0.7x,6/7,Double Bottom,1003.0,1033.0,1069.0,-2.8%,KOSDAQ,,,,,,,
066360,체리부로,1195,996,+19.9%,1.5x,7/7,Double Bottom,1018.0,1051.0,1144.0,+4.5%,KOSDAQ,,,,,,,
081580,성우전자,3205,2914,+10.0%,0.9x,6/7,Double Bottom,2820.0,2830.0,3100.0,+3.4%,KOSDAQ,,,,,,,
