ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,pivot_price,distance,vol_dryup,market,range1,range2,range3,contraction,vol_contraction,box_high,box_range,breakout,pivot_dryup
005930,삼성전자,217500,188106,+15.6%,0.8x,6/7,Double Bottom + Pivot Setup,172200.0,167200.0,208500.0,+4.3%,215500.0,+0.9%,0.8x avg,KOSPI,,,,,,,,,
000660,SK하이닉스,1155000,945400,+22.2%,0.6x,7/7,Pivot Setup,,,,,1173000.0,-1.5%,0.8x avg,KOSPI,,,,,,,,,
005935,삼성전자우,149000,130718,+14.0%,0.8x,6/7,Double Bottom + Pivot Setup,114800.0,114000.0,149100.0,-0.1%,146800.0,+1.5%,0.7x avg,KOSPI,,,,,,,,,
373220,LG에너지솔루션,416000,393310,+5.8%,0.8x,6/7,Pivot Setup,,,,,423000.0,-1.7%,0.7x avg,KOSPI,,,,,,,,,
105560,KB금융,162300,152734,+6.3%,1.1x,6/7,Double Bottom,137700.0,141900.0,155700.0,+4.2%,,,,KOSPI,,,,,,,,,
055550,신한지주,99900,94522,+5.7%,0.8x,6/7,Double Bottom + Pivot Setup,88500.0,87700.0,97900.0,+2.0%,100900.0,-1.0%,0.7x avg,KOSPI,,,,,,,,,
042660,한화오션,131900,129922,+1.5%,1.3x,6/7,Pivot Setup,,,,,132100.0,-0.2%,0.6x avg,KOSPI,,,,,,,,,
086790,하나금융지주,122500,115446,+6.1%,0.5x,6/7,Pivot Setup,,,,,124800.0,-1.8%,0.7x avg,KOSPI,,,,,,,,,
005490,POSCO홀딩스,370000,358350,+3.3%,0.6x,6/7,Double Bottom + Pivot Setup,321500.0,325000.0,353500.0,+4.7%,373500.0,-0.9%,0.7x avg,KOSPI,,,,,,,,,
316140,우리금융지주,35650,34157,+4.4%,0.6x,6/7,Pivot Setup,,,,,36200.0,-1.5%,0.8x avg,KOSPI,,,,,,,,,
096770,SK이노베이션,126500,117580,+7.6%,1.4x,6/7,Double Bottom,109000.0,105600.0,126500.0,+0.0%,,,,KOSPI,,,,,,,,,
066570,LG전자,126000,115924,+8.7%,1.2x,6/7,Double Bottom,109000.0,105600.0,120000.0,+5.0%,,,,KOSPI,,,,,,,,,
003670,포스코퓨처엠,223500,214738,+4.1%,0.6x,6/7,Double Bottom,185200.0,186400.0,215500.0,+3.7%,,,,KOSPI,,,,,,,,,
010950,S-Oil,118100,112740,+4.8%,0.6x,6/7,Double Bottom,105400.0,105300.0,113300.0,+4.2%,,,,KOSPI,,,,,,,,,
005940,NH투자증권,35200,32193,+9.3%,0.7x,6/7,Double Bottom,28800.0,29600.0,35600.0,-1.1%,,,,KOSPI,,,,,,,,,
454910,두산로보틱스,94100,93668,+0.5%,1.2x,6/7,Double Bottom,80600.0,79500.0,94300.0,-0.2%,,,,KOSPI,,,,,,,,,
271560,오리온,137700,130830,+5.3%,1.3x,7/7,Double Bottom,123600.0,127000.0,137800.0,-0.1%,,,,KOSPI,,,,,,,,,
004020,현대제철,39750,35949,+10.6%,0.8x,6/7,Double Bottom,33750.0,33450.0,39750.0,+0.0%,,,,KOSPI,,,,,,,,,
103590,일진전기,86200,76792,+12.3%,1.2x,6/7,Double Bottom,72400.0,69500.0,82600.0,+4.4%,,,,KOSPI,,,,,,,,,
011780,금호석유화학,137700,131950,+4.4%,1.0x,6/7,Double Bottom,114100.0,117900.0,136300.0,+1.0%,,,,KOSPI,,,,,,,,,
457190,이수스페셜티케미컬,103200,97858,+5.5%,0.9x,6/7,Double Bottom,85000.0,84700.0,105100.0,-1.8%,,,,KOSPI,,,,,,,,,
336260,두산퓨얼셀,46000,38413,+19.8%,1.3x,6/7,Double Bottom,32750.0,33400.0,46250.0,-0.5%,,,,KOSPI,,,,,,,,,
001430,세아베스틸지주,70500,69748,+1.1%,0.6x,7/7,Double Bottom,58500.0,60400.0,71300.0,-1.1%,,,,KOSPI,,,,,,,,,
007810,코리아써키트,91500,63990,+43.0%,0.7x,7/7,Pivot Setup,,,,,92400.0,-1.0%,0.8x avg,KOSPI,,,,,,,,,
005070,코스모신소재,55200,52122,+5.9%,0.7x,7/7,Pivot Setup,,,,,56300.0,-2.0%,0.8x avg,KOSPI,,,,,,,,,
030610,교보증권,13280,12881,+3.1%,0.6x,6/7,Double Bottom,11600.0,11400.0,13280.0,+0.0%,,,,KOSPI,,,,,,,,,
001740,SK네트웍스,5510,5345,+3.1%,0.6x,6/7,Double Bottom,5000.0,4920.0,5600.0,-1.6%,,,,KOSPI,,,,,,,,,
195870,해성디에스,59300,57143,+3.8%,1.5x,6/7,Double Bottom,48400.0,46750.0,60300.0,-1.7%,,,,KOSPI,,,,,,,,,
003470,유안타증권,5030,4873,+3.2%,1.0x,6/7,Double Bottom,4335.0,4420.0,5150.0,-2.3%,,,,KOSPI,,,,,,,,,
293940,신한알파리츠,6040,5802,+4.1%,1.0x,6/7,Double Bottom,5460.0,5640.0,5910.0,+2.2%,,,,KOSPI,,,,,,,,,
006340,대원전선,6600,5230,+26.2%,2.0x,6/7,Double Bottom,5000.0,4920.0,6520.0,+1.2%,,,,KOSPI,,,,,,,,,
001390,KG케미칼,5950,5478,+8.6%,0.7x,7/7,Pivot Setup,,,,,5910.0,+0.7%,0.8x avg,KOSPI,,,,,,,,,
009160,SIMPAC,5300,5095,+4.0%,1.8x,7/7,Double Bottom,4800.0,4570.0,5260.0,+0.8%,,,,KOSPI,,,,,,,,,
013580,계룡건설,28550,26078,+9.5%,1.0x,6/7,Double Bottom,24200.0,24600.0,29400.0,-2.9%,,,,KOSPI,,,,,,,,,
095570,AJ네트웍스,5030,5147,-2.3%,1.2x,6/7,VCP,,,,,,,,KOSPI,21.9%,17.1%,5.9%,27% of initial,True,,,,
317400,자이에스앤디,4490,4428,+1.4%,2.2x,6/7,Double Bottom,4100.0,4035.0,4570.0,-1.8%,,,,KOSPI,,,,,,,,,
012280,영화금속,1105,1030,+7.2%,1.3x,6/7,Double Bottom,1011.0,1001.0,1086.0,+1.7%,,,,KOSPI,,,,,,,,,
002690,동일제강,1696,1590,+6.6%,0.2x,6/7,Double Bottom,1446.0,1500.0,1652.0,+2.7%,,,,KOSPI,,,,,,,,,
108490,로보티즈,271500,262580,+3.4%,1.4x,6/7,Double Bottom,238000.0,233000.0,267000.0,+1.7%,,,,KOSDAQ,,,,,,,,,
005290,동진쎄미켐,56800,50456,+12.6%,0.8x,6/7,Double Bottom,45150.0,44000.0,55000.0,+3.3%,,,,KOSDAQ,,,,,,,,,
195940,HK이노엔,52900,51799,+2.1%,1.0x,6/7,Double Bottom,45550.0,46800.0,53100.0,-0.4%,,,,KOSDAQ,,,,,,,,,
036540,SFA반도체,7300,6985,+4.5%,2.0x,6/7,Double Bottom,6030.0,5990.0,7500.0,-2.7%,,,,KOSDAQ,,,,,,,,,
032190,다우데이타,25200,24941,+1.0%,1.6x,6/7,Double Bottom,21200.0,21950.0,25900.0,-2.7%,,,,KOSDAQ,,,,,,,,,
033100,제룡전기,51700,50335,+2.7%,1.5x,6/7,Double Bottom,43000.0,43500.0,50200.0,+3.0%,,,,KOSDAQ,,,,,,,,,
272290,이녹스첨단소재,34700,33546,+3.4%,1.8x,6/7,Double Bottom,27850.0,28650.0,35400.0,-2.0%,,,,KOSDAQ,,,,,,,,,
252990,샘씨엔에스,11200,10397,+7.7%,3.9x,6/7,Double Bottom,9060.0,8760.0,10920.0,+2.6%,,,,KOSDAQ,,,,,,,,,
091700,파트론,8360,7979,+4.8%,1.0x,6/7,Double Bottom,7500.0,7620.0,8580.0,-2.6%,,,,KOSDAQ,,,,,,,,,
092870,엑시콘,31800,28835,+10.3%,0.9x,6/7,Double Bottom,24500.0,25100.0,31850.0,-0.2%,,,,KOSDAQ,,,,,,,,,
298830,슈어소프트테크,7690,7487,+2.7%,2.3x,6/7,Double Bottom,6300.0,6520.0,7580.0,+1.5%,,,,KOSDAQ,,,,,,,,,
036200,유니셈,11190,10014,+11.7%,2.5x,6/7,Double Bottom,8590.0,8520.0,10720.0,+4.4%,,,,KOSDAQ,,,,,,,,,
067390,아스트,812,758,+7.0%,1.2x,6/7,Double Bottom,733.0,702.0,807.0,+0.6%,,,,KOSDAQ,,,,,,,,,
243840,신흥에스이씨,8550,6619,+29.2%,1.2x,7/7,Pivot Setup,,,,,8600.0,-0.6%,0.8x avg,KOSDAQ,,,,,,,,,
160980,싸이맥스,29150,22744,+28.2%,0.9x,7/7,Pivot Setup,,,,,29200.0,-0.2%,0.6x avg,KOSDAQ,,,,,,,,,
100120,뷰웍스,29650,26333,+12.6%,1.0x,7/7,Double Bottom,24300.0,24350.0,30200.0,-1.8%,,,,KOSDAQ,,,,,,,,,
017890,한국알콜,12240,11567,+5.8%,0.4x,6/7,Pivot Setup,,,,,12345.0,-0.9%,0.5x avg,KOSDAQ,,,,,,,,,
032620,GC메디아이,4275,4020,+6.3%,1.9x,6/7,Flat Base Breakout,,,,,,,,KOSDAQ,,,,,,4245.0,10.0%,+0.7%,False
322180,LS티라유텍,8250,7995,+3.2%,0.9x,6/7,Double Bottom,6890.0,6730.0,8380.0,-1.6%,,,,KOSDAQ,,,,,,,,,
040300,YTN,3445,3359,+2.5%,0.4x,6/7,Double Bottom,3055.0,3010.0,3400.0,+1.3%,,,,KOSDAQ,,,,,,,,,
065450,빅텍,5460,4825,+13.1%,0.4x,7/7,Double Bottom,4780.0,4600.0,5290.0,+3.2%,,,,KOSDAQ,,,,,,,,,
238090,앤디포스,3950,2694,+46.6%,0.9x,7/7,Pivot Setup,,,,,3960.0,-0.3%,0.7x avg,KOSDAQ,,,,,,,,,
217190,제너셈,6700,5910,+13.4%,7.1x,6/7,Double Bottom,5030.0,5120.0,6440.0,+4.0%,,,,KOSDAQ,,,,,,,,,
052900,KX하이텍,1245,1217,+2.3%,0.7x,6/7,Double Bottom,1050.0,1057.0,1258.0,-1.0%,,,,KOSDAQ,,,,,,,,,
126640,화신정공,1564,1507,+3.7%,1.5x,6/7,VCP,,,,,,,,KOSDAQ,28.5%,20.9%,9.1%,32% of initial,True,,,,
090150,아이윈,941,773,+21.6%,14.7x,7/7,Flat Base Breakout,,,,,,,,KOSDAQ,,,,,,860.0,13.2%,+9.4%,False
017000,신원종합개발,3260,3138,+3.9%,0.9x,6/7,Double Bottom,2735.0,2865.0,3250.0,+0.3%,,,,KOSDAQ,,,,,,,,,
