ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,pivot_price,distance,vol_dryup,market,box_high,box_range,breakout,pivot_dryup,range1,range2,range3,contraction,vol_contraction
005930,삼성전자,214500,190358,+12.7%,0.6x,7/7,Double Bottom + Pivot Setup,172200.0,167200.0,208500.0,+2.9%,218000.0,-1.6%,0.8x avg,KOSPI,,,,,,,,,
005935,삼성전자우,146400,131964,+10.9%,0.6x,6/7,Double Bottom,114800.0,114000.0,149100.0,-1.8%,,,,KOSPI,,,,,,,,,
105560,KB금융,160900,153748,+4.7%,0.6x,7/7,Double Bottom,137700.0,141900.0,155700.0,+3.3%,,,,KOSPI,,,,,,,,,
055550,신한지주,100000,95104,+5.1%,0.6x,7/7,Double Bottom + Pivot Setup,88500.0,87700.0,97900.0,+2.1%,101200.0,-1.2%,0.8x avg,KOSPI,,,,,,,,,
006800,미래에셋증권,69000,64639,+6.7%,0.5x,6/7,Double Bottom,61100.0,61500.0,67300.0,+2.5%,,,,KOSPI,,,,,,,,,
086790,하나금융지주,122700,116100,+5.7%,0.6x,7/7,Pivot Setup,,,,,124800.0,-1.7%,0.7x avg,KOSPI,,,,,,,,,
316140,우리금융지주,35750,34358,+4.1%,0.6x,6/7,Pivot Setup,,,,,36200.0,-1.2%,0.8x avg,KOSPI,,,,,,,,,
051910,LG화학,365500,327680,+11.5%,0.8x,6/7,Pivot Setup,,,,,367000.0,-0.4%,0.7x avg,KOSPI,,,,,,,,,
096770,SK이노베이션,128800,118416,+8.8%,0.7x,6/7,Double Bottom,109000.0,105600.0,126500.0,+1.8%,,,,KOSPI,,,,,,,,,
003670,포스코퓨처엠,236500,215278,+9.9%,0.8x,7/7,Pivot Setup,,,,,237000.0,-0.2%,0.8x avg,KOSPI,,,,,,,,,
066570,LG전자,124500,116960,+6.4%,0.6x,6/7,Double Bottom,109000.0,105600.0,120000.0,+3.8%,,,,KOSPI,,,,,,,,,
030200,KT,62800,61260,+2.5%,0.7x,6/7,Double Bottom,57800.0,59100.0,61400.0,+2.3%,,,,KOSPI,,,,,,,,,
010950,S-Oil,115900,113430,+2.2%,0.6x,6/7,Double Bottom,105400.0,105300.0,113300.0,+2.3%,,,,KOSPI,,,,,,,,,
005940,NH투자증권,35150,32558,+8.0%,0.6x,6/7,Double Bottom,28800.0,29600.0,35600.0,-1.3%,,,,KOSPI,,,,,,,,,
007660,이수페타시스,133300,113588,+17.4%,3.7x,6/7,Double Bottom,98800.0,98000.0,129500.0,+2.9%,,,,KOSPI,,,,,,,,,
011070,LG이노텍,409500,295820,+38.4%,0.8x,7/7,Pivot Setup,,,,,398500.0,+2.8%,0.7x avg,KOSPI,,,,,,,,,
454910,두산로보틱스,93300,93040,+0.3%,0.7x,6/7,Double Bottom,80600.0,79500.0,94300.0,-1.1%,,,,KOSPI,,,,,,,,,
271560,오리온,135000,131552,+2.6%,0.6x,7/7,Double Bottom,123600.0,127000.0,137800.0,-2.0%,,,,KOSPI,,,,,,,,,
103590,일진전기,85800,77740,+10.4%,0.8x,6/7,Double Bottom,72400.0,69500.0,82600.0,+3.9%,,,,KOSPI,,,,,,,,,
085620,미래에셋생명,17700,14635,+20.9%,0.6x,7/7,Double Bottom,15600.0,16120.0,17910.0,-1.2%,,,,KOSPI,,,,,,,,,
