ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,pivot_price,distance,vol_dryup,market,bottom1,bottom2,neckline,dist_from_neckline,box_high,box_range,breakout,pivot_dryup,range1,range2,range3,contraction,vol_contraction
005930,삼성전자,224500,193838,+15.8%,1.3x,7/7,Pivot Setup,222500.0,+0.9%,0.8x avg,KOSPI,,,,,,,,,,,,,
005935,삼성전자우,156200,134194,+16.4%,1.3x,7/7,Double Bottom,,,,KOSPI,114800.0,114000.0,149100.0,+4.8%,,,,,,,,,
105560,KB금융,158000,154646,+2.2%,1.1x,7/7,Double Bottom,,,,KOSPI,137700.0,141900.0,155700.0,+1.5%,,,,,,,,,
055550,신한지주,99900,95574,+4.5%,1.2x,7/7,Double Bottom,,,,KOSPI,88500.0,87700.0,97900.0,+2.0%,,,,,,,,,
042660,한화오션,134400,129404,+3.9%,1.3x,6/7,Double Bottom,,,,KOSPI,118200.0,120100.0,128000.0,+5.0%,,,,,,,,,
006800,미래에셋증권,67700,65788,+2.9%,1.1x,7/7,Double Bottom,,,,KOSPI,61100.0,61500.0,67300.0,+0.6%,,,,,,,,,
316140,우리금융지주,34850,34541,+0.9%,1.2x,7/7,Double Bottom,,,,KOSPI,31700.0,31850.0,33600.0,+3.7%,,,,,,,,,
278470,에이피알,436000,334770,+30.2%,0.9x,7/7,Pivot Setup,441000.0,-1.1%,0.7x avg,KOSPI,,,,,,,,,,,,,
030200,KT,62000,61598,+0.7%,0.8x,6/7,Double Bottom,,,,KOSPI,57800.0,59100.0,61400.0,+1.0%,,,,,,,,,
005940,NH투자증권,34950,33101,+5.6%,1.1x,7/7,Double Bottom,,,,KOSPI,28800.0,29600.0,35600.0,-1.8%,,,,,,,,,
161390,한국타이어앤테크놀로지,64200,62086,+3.4%,0.8x,7/7,Pivot Setup,65000.0,-1.2%,0.8x avg,KOSPI,,,,,,,,,,,,,
062040,산일전기,211500,157658,+34.2%,0.7x,7/7,Pivot Setup,210500.0,+0.5%,0.6x avg,KOSPI,,,,,,,,,,,,,
271560,오리온,145500,132524,+9.8%,2.2x,7/7,Flat Base Breakout,,,,KOSPI,,,,,139400.0,14.7%,+4.4%,True,,,,,
004020,현대제철,41250,36875,+11.9%,1.3x,6/7,Double Bottom,,,,KOSPI,33750.0,33450.0,39750.0,+3.8%,,,,,,,,,
022100,포스코DX,34550,33560,+2.9%,1.2x,7/7,Double Bottom,,,,KOSPI,28850.0,29450.0,33650.0,+2.7%,,,,,,,,,
011780,금호석유화학,135900,131872,+3.1%,0.9x,7/7,Double Bottom,,,,KOSPI,114100.0,117900.0,136300.0,-0.3%,,,,,,,,,
336260,두산퓨얼셀,47700,39513,+20.7%,0.9x,6/7,Double Bottom,,,,KOSPI,32750.0,33400.0,46250.0,+3.1%,,,,,,,,,
085620,미래에셋생명,17770,15131,+17.4%,1.2x,7/7,Double Bottom,,,,KOSPI,15600.0,16120.0,17910.0,-0.8%,,,,,,,,,
139480,이마트,103400,99846,+3.6%,0.9x,7/7,Double Bottom + Pivot Setup,104200.0,-0.8%,0.7x avg,KOSPI,88700.0,90100.0,100700.0,+2.7%,,,,,,,,,
001120,LX인터내셔널,54000,46524,+16.1%,0.6x,7/7,Pivot Setup,54500.0,-0.9%,0.6x avg,KOSPI,,,,,,,,,,,,,
003530,한화투자증권,7690,7365,+4.4%,1.2x,6/7,Double Bottom,,,,KOSPI,6290.0,6450.0,7920.0,-2.9%,,,,,,,,,
294870,IPARK현대산업개발,24150,22343,+8.1%,1.2x,6/7,Double Bottom,,,,KOSPI,20450.0,20200.0,24100.0,+0.2%,,,,,,,,,
