ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup,box_high,box_range,breakout,pivot_dryup,range1,range2,range3,contraction,vol_contraction
105560,KB금융,158800,154690,+2.7%,1.2x,7/7,Double Bottom,137700.0,141900.0,155700.0,+2.0%,KOSPI,,,,,,,,,,,,
055550,신한지주,99900,95722,+4.4%,1.0x,7/7,Double Bottom,88500.0,87700.0,97900.0,+2.0%,KOSPI,,,,,,,,,,,,
042660,한화오션,133900,129574,+3.3%,0.7x,7/7,Double Bottom,118200.0,120100.0,128000.0,+4.6%,KOSPI,,,,,,,,,,,,
006800,미래에셋증권,68500,66751,+2.6%,1.0x,7/7,Double Bottom,61100.0,61500.0,67300.0,+1.8%,KOSPI,,,,,,,,,,,,
316140,우리금융지주,33500,34416,-2.7%,1.2x,6/7,Double Bottom,31700.0,31850.0,33600.0,-0.3%,KOSPI,,,,,,,,,,,,
278470,에이피알,459000,345460,+32.9%,0.6x,7/7,Pivot Setup,,,,,KOSPI,457000.0,+0.4%,0.7x avg,,,,,,,,,
047040,대우건설,37150,17414,+113.3%,1.6x,7/7,Pivot Setup,,,,,KOSPI,36200.0,+2.6%,0.8x avg,,,,,,,,,
010950,S-Oil,118700,115378,+2.9%,0.9x,7/7,Double Bottom,105400.0,105300.0,113300.0,+4.8%,KOSPI,,,,,,,,,,,,
005940,NH투자증권,35050,33525,+4.5%,0.9x,7/7,Double Bottom,28800.0,29600.0,35600.0,-1.5%,KOSPI,,,,,,,,,,,,
028050,삼성E&A,56300,39960,+40.9%,1.2x,7/7,Pivot Setup,,,,,KOSPI,55200.0,+2.0%,0.8x avg,,,,,,,,,
066970,엘앤에프,205000,144698,+41.7%,0.5x,7/7,Pivot Setup,,,,,KOSPI,209000.0,-1.9%,0.7x avg,,,,,,,,,
271560,오리온,141200,133318,+5.9%,0.6x,7/7,Double Bottom,123600.0,127000.0,137800.0,+2.5%,KOSPI,,,,,,,,,,,,
018880,한온시스템,4400,4140,+6.3%,2.4x,7/7,Double Bottom,3680.0,3720.0,4400.0,+0.0%,KOSPI,,,,,,,,,,,,
011780,금호석유화학,137700,131588,+4.6%,1.4x,7/7,Double Bottom,114100.0,117900.0,136300.0,+1.0%,KOSPI,,,,,,,,,,,,
139130,iM금융지주,19280,17997,+7.1%,0.5x,7/7,Pivot Setup,,,,,KOSPI,19510.0,-1.2%,0.8x avg,,,,,,,,,
028670,팬오션,5580,5278,+5.7%,0.5x,7/7,Double Bottom,5000.0,4820.0,5330.0,+4.7%,KOSPI,,,,,,,,,,,,
002790,아모레퍼시픽홀딩스,29550,28692,+3.0%,1.3x,6/7,Double Bottom,25500.0,26650.0,29350.0,+0.7%,KOSPI,,,,,,,,,,,,
001120,LX인터내셔널,55700,47217,+18.0%,0.7x,7/7,Pivot Setup,,,,,KOSPI,55700.0,+0.0%,0.7x avg,,,,,,,,,
003530,한화투자증권,7990,7460,+7.1%,2.0x,7/7,Double Bottom,6290.0,6450.0,7920.0,+0.9%,KOSPI,,,,,,,,,,,,
415640,KB발해인프라,10160,9970,+1.9%,2.0x,6/7,Flat Base Breakout,,,,,KOSPI,,,,10000.0,1.3%,+1.6%,False,,,,,
003850,보령,10050,9648,+4.2%,0.5x,6/7,Double Bottom,8750.0,9000.0,9660.0,+4.0%,KOSPI,,,,,,,,,,,,
178920,PI첨단소재,25950,22077,+17.5%,0.8x,7/7,Pivot Setup,,,,,KOSPI,26450.0,-1.9%,0.7x avg,,,,,,,,,
002350,넥센타이어,7720,7754,-0.4%,1.5x,6/7,Double Bottom,7080.0,6990.0,7640.0,+1.0%,KOSPI,,,,,,,,,,,,
293940,신한알파리츠,6170,5869,+5.1%,1.1x,6/7,Double Bottom,5460.0,5640.0,5910.0,+4.4%,KOSPI,,,,,,,,,,,,
001500,현대차증권,11580,11220,+3.2%,1.4x,6/7,Double Bottom,10280.0,9830.0,11600.0,-0.2%,KOSPI,,,,,,,,,,,,
357120,코람코라이프인프라리츠,4850,4615,+5.1%,1.6x,6/7,Double Bottom,4310.0,4470.0,4645.0,+4.4%,KOSPI,,,,,,,,,,,,
011500,한농화성,24750,22581,+9.6%,0.7x,7/7,Double Bottom,19550.0,19350.0,23950.0,+3.3%,KOSPI,,,,,,,,,,,,
096760,JW홀딩스,4335,4172,+3.9%,1.4x,6/7,Double Bottom,3670.0,3845.0,4425.0,-2.0%,KOSPI,,,,,,,,,,,,
013580,계룡건설,30050,27037,+11.1%,0.7x,7/7,Double Bottom,24200.0,24600.0,29400.0,+2.2%,KOSPI,,,,,,,,,,,,
095570,AJ네트웍스,5270,5119,+2.9%,1.2x,7/7,VCP,,,,,KOSPI,,,,,,,,17.1%,12.7%,6.0%,35% of initial,True
001290,상상인증권,1388,1187,+16.9%,4.7x,6/7,Double Bottom,1017.0,1025.0,1413.0,-1.8%,KOSPI,,,,,,,,,,,,
012280,영화금속,1108,1051,+5.3%,1.8x,7/7,Double Bottom,1011.0,1001.0,1086.0,+2.0%,KOSPI,,,,,,,,,,,,
058610,에스피지,135100,121332,+11.3%,2.1x,6/7,Double Bottom,108400.0,103500.0,135000.0,+0.1%,KOSDAQ,,,,,,,,,,,,
195940,HK이노엔,54500,51469,+5.9%,1.8x,6/7,Double Bottom,45550.0,46800.0,53100.0,+2.6%,KOSDAQ,,,,,,,,,,,,
397030,에이프릴바이오,64300,61494,+4.6%,0.8x,6/7,Pivot Setup,,,,,KOSDAQ,64700.0,-0.6%,0.7x avg,,,,,,,,,
033790,피노,14190,7721,+83.8%,0.3x,7/7,Pivot Setup,,,,,KOSDAQ,14250.0,-0.4%,0.4x avg,,,,,,,,,
094170,동운아나텍,47850,31490,+52.0%,0.6x,7/7,Pivot Setup,,,,,KOSDAQ,47600.0,+0.5%,0.8x avg,,,,,,,,,
