ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,box_high,box_range,breakout,pivot_dryup,pivot_price,distance,vol_dryup,range1,range2,range3,contraction,vol_contraction
105560,KB금융,160600,154532,+3.9%,0.8x,7/7,Double Bottom,137700.0,141900.0,155700.0,+3.1%,KOSPI,,,,,,,,,,,,
055550,신한지주,100000,95602,+4.6%,1.2x,7/7,Double Bottom,88500.0,87700.0,97900.0,+2.1%,KOSPI,,,,,,,,,,,,
042660,한화오션,132300,129584,+2.1%,0.7x,7/7,Double Bottom,118200.0,120100.0,128000.0,+3.4%,KOSPI,,,,,,,,,,,,
006800,미래에셋증권,67700,67042,+1.0%,0.5x,7/7,Double Bottom,61100.0,61500.0,67300.0,+0.6%,KOSPI,,,,,,,,,,,,
316140,우리금융지주,33500,34303,-2.3%,1.0x,6/7,Double Bottom,31700.0,31850.0,33600.0,-0.3%,KOSPI,,,,,,,,,,,,
071050,한국금융지주,249000,239590,+3.9%,1.1x,7/7,Double Bottom,206500.0,202500.0,241000.0,+3.3%,KOSPI,,,,,,,,,,,,
005940,NH투자증권,34600,33634,+2.9%,0.8x,7/7,Double Bottom,28800.0,29600.0,35600.0,-2.8%,KOSPI,,,,,,,,,,,,
018880,한온시스템,4355,4139,+5.2%,0.7x,7/7,Double Bottom,3680.0,3720.0,4400.0,-1.0%,KOSPI,,,,,,,,,,,,
004990,롯데지주,31300,30710,+1.9%,4.6x,6/7,Flat Base Breakout,,,,,KOSPI,29550.0,10.1%,+5.9%,True,,,,,,,,
028670,팬오션,5550,5286,+5.0%,0.5x,7/7,Double Bottom,5000.0,4820.0,5330.0,+4.1%,KOSPI,,,,,,,,,,,,
001450,현대해상,31450,31345,+0.3%,1.2x,6/7,Double Bottom,29200.0,29600.0,32150.0,-2.2%,KOSPI,,,,,,,,,,,,
002790,아모레퍼시픽홀딩스,28750,28580,+0.6%,2.9x,6/7,Double Bottom,25500.0,26650.0,29350.0,-2.0%,KOSPI,,,,,,,,,,,,
001120,LX인터내셔널,56700,47450,+19.5%,0.9x,7/7,Pivot Setup,,,,,KOSPI,,,,,56700.0,+0.0%,0.6x avg,,,,,
012630,HDC,28800,26178,+10.0%,1.1x,6/7,Double Bottom + Pivot Setup,26100.0,26900.0,27800.0,+3.6%,KOSPI,,,,,29000.0,-0.7%,0.8x avg,,,,,
003530,한화투자증권,7830,7487,+4.6%,0.8x,7/7,Double Bottom,6290.0,6450.0,7920.0,-1.1%,KOSPI,,,,,,,,,,,,
003850,보령,10080,9658,+4.4%,0.7x,6/7,Double Bottom,8750.0,9000.0,9660.0,+4.3%,KOSPI,,,,,,,,,,,,
002350,넥센타이어,7750,7724,+0.3%,2.1x,7/7,Double Bottom,7080.0,6990.0,7640.0,+1.4%,KOSPI,,,,,,,,,,,,
293940,신한알파리츠,5900,5867,+0.6%,1.9x,6/7,Double Bottom,5460.0,5640.0,5910.0,-0.2%,KOSPI,,,,,,,,,,,,
001500,현대차증권,11330,11251,+0.7%,0.9x,6/7,Double Bottom,10280.0,9830.0,11600.0,-2.3%,KOSPI,,,,,,,,,,,,
027410,BGF,5300,4586,+15.5%,1.2x,7/7,Pivot Setup,,,,,KOSPI,,,,,5300.0,+0.0%,0.7x avg,,,,,
357120,코람코라이프인프라리츠,4650,4616,+0.7%,2.4x,6/7,Double Bottom,4310.0,4470.0,4645.0,+0.1%,KOSPI,,,,,,,,,,,,
011500,한농화성,24700,22570,+9.4%,0.4x,7/7,Double Bottom,19550.0,19350.0,23950.0,+3.1%,KOSPI,,,,,,,,,,,,
096760,JW홀딩스,4380,4177,+4.9%,0.7x,6/7,Double Bottom,3670.0,3845.0,4425.0,-1.0%,KOSPI,,,,,,,,,,,,
404990,신한서부티엔디리츠,4585,4389,+4.4%,1.3x,7/7,Double Bottom,4135.0,4085.0,4540.0,+1.0%,KOSPI,,,,,,,,,,,,
013580,계룡건설,29600,27103,+9.2%,0.3x,7/7,Double Bottom,24200.0,24600.0,29400.0,+0.7%,KOSPI,,,,,,,,,,,,
095570,AJ네트웍스,5360,5119,+4.7%,1.7x,7/7,VCP + Flat Base Breakout,,,,,KOSPI,5320.0,6.2%,+0.8%,False,,,,17.7%,10.5%,7.4%,42% of initial,True
015230,대창단조,7000,6716,+4.2%,0.6x,7/7,Pivot Setup,,,,,KOSPI,,,,,7110.0,-1.5%,0.7x avg,,,,,
013570,디와이,5320,5027,+5.8%,2.6x,7/7,Flat Base Breakout,,,,,KOSPI,5220.0,12.3%,+1.9%,False,,,,,,,,
007610,선도전기,6500,3070,+111.7%,infx,7/7,Flat Base Breakout,,,,,KOSPI,0.0,nan%,+inf%,False,,,,,,,,
012280,영화금속,1136,1055,+7.7%,1.6x,7/7,Double Bottom,1011.0,1001.0,1086.0,+4.6%,KOSPI,,,,,,,,,,,,
222800,심텍,89300,61472,+45.3%,0.7x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,90400.0,-1.2%,0.8x avg,,,,,
195940,HK이노엔,54300,51447,+5.5%,1.0x,6/7,Double Bottom,45550.0,46800.0,53100.0,+2.3%,KOSDAQ,,,,,,,,,,,,
