ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup,range1,range2,range3,contraction,vol_contraction,box_high,box_range,breakout,pivot_dryup
105560,KB금융,160500,154384,+4.0%,1.4x,7/7,Double Bottom,137700.0,141900.0,155700.0,+3.1%,KOSPI,,,,,,,,,,,,
055550,신한지주,99900,95550,+4.6%,1.5x,7/7,Double Bottom,88500.0,87700.0,97900.0,+2.0%,KOSPI,,,,,,,,,,,,
042660,한화오션,131800,129624,+1.7%,0.6x,7/7,Double Bottom,118200.0,120100.0,128000.0,+3.0%,KOSPI,,,,,,,,,,,,
010140,삼성중공업,32350,28679,+12.8%,0.7x,7/7,Double Bottom,23500.0,24450.0,30850.0,+4.9%,KOSPI,,,,,,,,,,,,
316140,우리금융지주,33350,34191,-2.5%,1.3x,6/7,Double Bottom,31700.0,31850.0,33600.0,-0.7%,KOSPI,,,,,,,,,,,,
071050,한국금융지주,240000,239240,+0.3%,1.2x,7/7,Double Bottom,206500.0,202500.0,241000.0,-0.4%,KOSPI,,,,,,,,,,,,
307950,현대오토에버,450500,418660,+7.6%,1.1x,7/7,Double Bottom,371500.0,358500.0,434000.0,+3.8%,KOSPI,,,,,,,,,,,,
271560,오리온,143600,133554,+7.5%,0.8x,7/7,Double Bottom,123600.0,127000.0,137800.0,+4.2%,KOSPI,,,,,,,,,,,,
022100,포스코DX,34900,33224,+5.0%,0.0x,7/7,Double Bottom,28850.0,29450.0,33650.0,+3.7%,KOSPI,,,,,,,,,,,,
028670,팬오션,5540,5296,+4.6%,0.7x,7/7,Double Bottom,5000.0,4820.0,5330.0,+3.9%,KOSPI,,,,,,,,,,,,
012630,HDC,28100,26286,+6.9%,0.7x,6/7,Double Bottom,26100.0,26900.0,27800.0,+1.1%,KOSPI,,,,,,,,,,,,
030610,교보증권,13630,13192,+3.3%,0.9x,7/7,Double Bottom,11600.0,11400.0,13280.0,+2.6%,KOSPI,,,,,,,,,,,,
001740,SK네트웍스,5870,5426,+8.2%,1.7x,7/7,Double Bottom,5000.0,4920.0,5600.0,+4.8%,KOSPI,,,,,,,,,,,,
003470,유안타증권,5250,5005,+4.9%,1.0x,7/7,Double Bottom,4335.0,4420.0,5150.0,+1.9%,KOSPI,,,,,,,,,,,,
003850,보령,9940,9668,+2.8%,0.6x,6/7,Double Bottom,8750.0,9000.0,9660.0,+2.9%,KOSPI,,,,,,,,,,,,
293940,신한알파리츠,6050,5867,+3.1%,1.7x,6/7,Double Bottom,5460.0,5640.0,5910.0,+2.4%,KOSPI,,,,,,,,,,,,
027410,BGF,5240,4606,+13.7%,0.8x,7/7,Pivot Setup,,,,,KOSPI,5310.0,-1.3%,0.8x avg,,,,,,,,,
357120,코람코라이프인프라리츠,4685,4616,+1.5%,1.5x,6/7,Double Bottom,4310.0,4470.0,4645.0,+0.9%,KOSPI,,,,,,,,,,,,
417310,코람코더원리츠,10390,9645,+7.7%,0.4x,7/7,Pivot Setup,,,,,KOSPI,10550.0,-1.5%,0.8x avg,,,,,,,,,
034830,한국토지신탁,1597,1559,+2.4%,1.4x,6/7,Double Bottom,1486.0,1526.0,1552.0,+2.9%,KOSPI,,,,,,,,,,,,
011500,한농화성,23600,22546,+4.7%,0.4x,7/7,Double Bottom,19550.0,19350.0,23950.0,-1.5%,KOSPI,,,,,,,,,,,,
404990,신한서부티엔디리츠,4685,4401,+6.4%,0.7x,7/7,Double Bottom,4135.0,4085.0,4540.0,+3.2%,KOSPI,,,,,,,,,,,,
013580,계룡건설,29000,27153,+6.8%,0.3x,7/7,Double Bottom,24200.0,24600.0,29400.0,-1.4%,KOSPI,,,,,,,,,,,,
095570,AJ네트웍스,5300,5117,+3.6%,1.2x,7/7,VCP,,,,,KOSPI,,,,17.7%,10.5%,7.4%,42% of initial,True,,,,
012280,영화금속,1102,1057,+4.2%,1.1x,7/7,Double Bottom,1011.0,1001.0,1086.0,+1.5%,KOSPI,,,,,,,,,,,,
