ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,box_high,box_range,breakout,pivot_dryup,range1,range2,range3,contraction,vol_contraction,pivot_price,distance,vol_dryup
055550,신한지주,97300,95410,+2.0%,1.5x,7/7,Double Bottom,88500.0,87700.0,97900.0,-0.6%,KOSPI,,,,,,,,,,,,
042660,한화오션,130200,129078,+0.9%,1.3x,7/7,Double Bottom,118200.0,120100.0,128000.0,+1.7%,KOSPI,,,,,,,,,,,,
010140,삼성중공업,31850,28793,+10.6%,1.0x,7/7,Double Bottom,23500.0,24450.0,30850.0,+3.2%,KOSPI,,,,,,,,,,,,
316140,우리금융지주,32600,33905,-3.8%,2.1x,6/7,Double Bottom,31700.0,31850.0,33600.0,-3.0%,KOSPI,,,,,,,,,,,,
307950,현대오토에버,441000,418950,+5.3%,1.1x,7/7,Double Bottom,371500.0,358500.0,434000.0,+1.6%,KOSPI,,,,,,,,,,,,
271560,오리온,139200,133664,+4.1%,1.1x,7/7,Double Bottom,123600.0,127000.0,137800.0,+1.0%,KOSPI,,,,,,,,,,,,
022100,포스코DX,34550,33071,+4.5%,1.0x,7/7,Double Bottom,28850.0,29450.0,33650.0,+2.7%,KOSPI,,,,,,,,,,,,
011780,금호석유화학,140100,131596,+6.5%,0.9x,7/7,Double Bottom,114100.0,117900.0,136300.0,+2.8%,KOSPI,,,,,,,,,,,,
139480,이마트,103300,98618,+4.7%,1.0x,7/7,Double Bottom,88700.0,90100.0,100700.0,+2.6%,KOSPI,,,,,,,,,,,,
003540,대신증권,42200,39342,+7.3%,3.7x,7/7,Double Bottom + Flat Base Breakout,36050.0,35100.0,40700.0,+3.7%,KOSPI,40750.0,14.8%,+3.6%,False,,,,,,,,
012630,HDC,27650,26478,+4.4%,1.9x,6/7,Double Bottom,26100.0,26900.0,27800.0,-0.5%,KOSPI,,,,,,,,,,,,
033240,자화전자,46350,39785,+16.5%,1.3x,7/7,Double Bottom,31000.0,32200.0,44400.0,+4.4%,KOSPI,,,,,,,,,,,,
000370,한화손해보험,7090,6881,+3.0%,3.3x,6/7,Flat Base Breakout,,,,,KOSPI,6960.0,11.9%,+1.9%,False,,,,,,,,
000400,롯데손해보험,2170,2145,+1.2%,2.6x,7/7,Double Bottom,2000.0,2090.0,2195.0,-1.1%,KOSPI,,,,,,,,,,,,
011500,한농화성,24600,22513,+9.3%,0.6x,7/7,Double Bottom,19550.0,19350.0,23950.0,+2.7%,KOSPI,,,,,,,,,,,,
006805,미래에셋증권우,25850,22486,+15.0%,5.4x,7/7,Double Bottom,19563.0,20000.0,24688.0,+4.7%,KOSPI,,,,,,,,,,,,
013580,계룡건설,28650,27189,+5.4%,0.5x,7/7,Double Bottom,24200.0,24600.0,29400.0,-2.6%,KOSPI,,,,,,,,,,,,
317400,자이에스앤디,4475,4474,+0.0%,1.3x,7/7,Double Bottom,4100.0,4035.0,4570.0,-2.1%,KOSPI,,,,,,,,,,,,
001290,상상인증권,1401,1212,+15.5%,0.0x,7/7,Double Bottom,1017.0,1025.0,1413.0,-0.8%,KOSPI,,,,,,,,,,,,
004150,한솔홀딩스,3400,3349,+1.5%,2.0x,6/7,VCP,,,,,KOSPI,,,,,24.5%,19.4%,10.0%,41% of initial,True,,,
049800,우진플라임,2660,2684,-0.9%,0.3x,6/7,Double Bottom,2325.0,2425.0,2645.0,+0.6%,KOSPI,,,,,,,,,,,,
004105,태양금속우,4050,3969,+2.0%,0.5x,6/7,Double Bottom,3735.0,3660.0,3915.0,+3.4%,KOSPI,,,,,,,,,,,,
240810,원익IPS,129000,120590,+7.0%,2.5x,7/7,Flat Base Breakout,,,,,KOSDAQ,126300.0,13.7%,+2.1%,False,,,,,,,,
403870,HPSP,56600,46061,+22.9%,1.2x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,,,,,,57400.0,-1.4%,0.8x avg
222800,심텍,93800,63784,+47.1%,1.3x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,,,,,,92900.0,+1.0%,0.8x avg
067310,하나마이크론,43500,34185,+27.2%,0.0x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,,,,,,43850.0,-0.8%,0.7x avg
232140,와이씨,23700,20262,+17.0%,0.0x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,,,,,,24000.0,-1.2%,0.6x avg
195940,HK이노엔,52100,51223,+1.7%,1.1x,7/7,Double Bottom,45550.0,46800.0,53100.0,-1.9%,KOSDAQ,,,,,,,,,,,,
356860,티엘비,95300,71529,+33.2%,0.7x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,,,,,,94550.0,+0.8%,0.7x avg
060250,NHN KCP,21300,19001,+12.1%,1.8x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,,,,,,21550.0,-1.2%,0.7x avg
272290,이녹스첨단소재,36000,33057,+8.9%,1.0x,7/7,Double Bottom,27850.0,28650.0,35400.0,+1.7%,KOSDAQ,,,,,,,,,,,,
119850,지엔씨에너지,36750,34747,+5.8%,0.0x,7/7,Double Bottom,31150.0,29650.0,37050.0,-0.8%,KOSDAQ,,,,,,,,,,,,
