ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,range1,range2,range3,contraction,vol_contraction,market,bottom1,bottom2,neckline,dist_from_neckline,pivot_price,distance,vol_dryup,box_high,box_range,breakout,pivot_dryup
105560,KB금융,158800,153584,+3.4%,1.3x,7/7,VCP,25.2%,14.2%,7.2%,29% of initial,True,KOSPI,,,,,,,,,,,
055550,신한지주,97200,95248,+2.0%,1.3x,7/7,VCP + Double Bottom,24.3%,12.5%,5.3%,22% of initial,True,KOSPI,88500.0,87700.0,97900.0,-0.7%,,,,,,,
042660,한화오션,130500,128162,+1.8%,2.0x,7/7,Double Bottom,,,,,,KOSPI,118200.0,120100.0,128000.0,+2.0%,,,,,,,
000810,삼성화재,505000,475430,+6.2%,1.1x,6/7,Double Bottom,,,,,,KOSPI,440500.0,456000.0,490000.0,+3.1%,,,,,,,
096770,SK이노베이션,132700,123482,+7.5%,0.9x,7/7,Double Bottom,,,,,,KOSPI,109000.0,105600.0,126500.0,+4.9%,,,,,,,
005940,NH투자증권,36050,33652,+7.1%,0.8x,7/7,Double Bottom,,,,,,KOSPI,28800.0,29600.0,35600.0,+1.3%,,,,,,,
353200,대덕전자,125800,86324,+45.7%,0.5x,7/7,Pivot Setup,,,,,,KOSPI,,,,,127900.0,-1.6%,0.6x avg,,,,
271560,오리온,139600,133792,+4.3%,0.7x,7/7,Double Bottom,,,,,,KOSPI,123600.0,127000.0,137800.0,+1.3%,,,,,,,
022100,포스코DX,34250,32865,+4.2%,0.9x,7/7,Double Bottom,,,,,,KOSPI,28850.0,29450.0,33650.0,+1.8%,,,,,,,
457190,이수스페셜티케미컬,110300,103122,+7.0%,0.7x,7/7,Double Bottom,,,,,,KOSPI,85000.0,84700.0,105100.0,+4.9%,,,,,,,
00680K,미래에셋증권2우B,22950,20614,+11.3%,1.0x,7/7,Double Bottom,,,,,,KOSPI,17942.0,18770.0,21900.0,+4.8%,,,,,,,
011210,현대위아,89600,83640,+7.1%,1.4x,7/7,Double Bottom,,,,,,KOSPI,78400.0,75000.0,91300.0,-1.9%,,,,,,,
003530,한화투자증권,8180,7463,+9.6%,0.8x,7/7,Double Bottom,,,,,,KOSPI,6290.0,6450.0,7920.0,+3.3%,,,,,,,
012630,HDC,27200,26671,+2.0%,1.3x,6/7,Double Bottom,,,,,,KOSPI,26100.0,26900.0,27800.0,-2.2%,,,,,,,
006110,삼아알미늄,79300,45679,+73.6%,0.7x,7/7,Pivot Setup,,,,,,KOSPI,,,,,78000.0,+1.7%,0.5x avg,,,,
001500,현대차증권,12130,11167,+8.6%,1.1x,7/7,Double Bottom,,,,,,KOSPI,10280.0,9830.0,11600.0,+4.6%,,,,,,,
009470,삼화전기,41500,40452,+2.6%,0.6x,6/7,Double Bottom,,,,,,KOSPI,33650.0,34100.0,41100.0,+1.0%,,,,,,,
007980,TP,2020,1951,+3.5%,1.2x,7/7,Double Bottom,,,,,,KOSPI,1734.0,1755.0,1940.0,+4.1%,,,,,,,
003475,유안타증권우,4780,4487,+6.5%,0.8x,7/7,Double Bottom,,,,,,KOSPI,4100.0,4090.0,4780.0,+0.0%,,,,,,,
004105,태양금속우,3975,3968,+0.2%,0.5x,7/7,Double Bottom,,,,,,KOSPI,3735.0,3660.0,3915.0,+1.5%,,,,,,,
347700,스피어,46950,44985,+4.4%,2.7x,6/7,Double Bottom,,,,,,KOSDAQ,39450.0,39700.0,47200.0,-0.5%,,,,,,,
036830,솔브레인홀딩스,63200,56711,+11.4%,0.8x,7/7,Double Bottom,,,,,,KOSDAQ,43900.0,45400.0,62400.0,+1.3%,,,,,,,
222080,씨아이에스,15670,13805,+13.5%,0.4x,7/7,Double Bottom,,,,,,KOSDAQ,11180.0,11600.0,15100.0,+3.8%,,,,,,,
272290,이녹스첨단소재,35750,33133,+7.9%,1.1x,7/7,Double Bottom,,,,,,KOSDAQ,27850.0,28650.0,35400.0,+1.0%,,,,,,,
104830,원익머트리얼즈,50400,46302,+8.9%,0.7x,7/7,Double Bottom,,,,,,KOSDAQ,40600.0,39950.0,49000.0,+2.9%,,,,,,,
119850,지엔씨에너지,36500,34591,+5.5%,1.3x,6/7,Double Bottom,,,,,,KOSDAQ,31150.0,29650.0,37050.0,-1.5%,,,,,,,
039440,에스티아이,36700,33822,+8.5%,0.6x,7/7,Double Bottom,,,,,,KOSDAQ,29250.0,28450.0,36800.0,-0.3%,,,,,,,
234340,헥토파이낸셜,39700,31386,+26.5%,1.8x,7/7,Double Bottom,,,,,,KOSDAQ,23350.0,23000.0,40300.0,-1.5%,,,,,,,
