ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,range1,range2,range3,contraction,vol_contraction,market,bottom1,bottom2,neckline,dist_from_neckline,box_high,box_range,breakout,pivot_dryup
105560,KB금융,152000,153210,-0.8%,1.0x,6/7,VCP,25.2%,14.2%,9.9%,39% of initial,True,KOSPI,,,,,,,,
055550,신한지주,95200,95150,+0.1%,0.9x,7/7,VCP + Double Bottom,24.4%,13.4%,7.0%,29% of initial,True,KOSPI,88500.0,87700.0,97900.0,-2.8%,,,,
010140,삼성중공업,31050,29137,+6.6%,0.9x,7/7,Double Bottom,,,,,,KOSPI,23500.0,24450.0,30850.0,+0.6%,,,,
000810,삼성화재,498000,473930,+5.1%,0.7x,6/7,Double Bottom,,,,,,KOSPI,440500.0,456000.0,490000.0,+1.6%,,,,
096770,SK이노베이션,129700,123492,+5.0%,0.8x,7/7,Double Bottom,,,,,,KOSPI,109000.0,105600.0,126500.0,+2.5%,,,,
007660,이수페타시스,133100,123690,+7.6%,0.6x,7/7,Double Bottom,,,,,,KOSPI,98800.0,98000.0,129500.0,+2.8%,,,,
271560,오리온,137800,133946,+2.9%,0.7x,7/7,Double Bottom,,,,,,KOSPI,123600.0,127000.0,137800.0,+0.0%,,,,
022100,포스코DX,33550,32660,+2.7%,0.8x,7/7,Double Bottom,,,,,,KOSPI,28850.0,29450.0,33650.0,-0.3%,,,,
011780,금호석유화학,140300,130732,+7.3%,0.4x,7/7,Double Bottom,,,,,,KOSPI,114100.0,117900.0,136300.0,+2.9%,,,,
457190,이수스페셜티케미컬,106500,102884,+3.5%,0.5x,7/7,Double Bottom,,,,,,KOSPI,85000.0,84700.0,105100.0,+1.3%,,,,
417310,코람코더원리츠,10060,9795,+2.7%,1.0x,7/7,VCP,17.4%,12.4%,5.6%,32% of initial,True,KOSPI,,,,,,,,
007980,TP,1993,1952,+2.1%,0.8x,7/7,Double Bottom,,,,,,KOSPI,1734.0,1755.0,1940.0,+2.7%,,,,
378850,화승알앤에이,3785,3475,+8.9%,106.0x,6/7,Flat Base Breakout,,,,,,KOSPI,,,,,3595.0,9.9%,+5.3%,False
33637K,솔루스첨단소재1우,2140,2193,-2.4%,0.2x,6/7,Double Bottom,,,,,,KOSPI,1984.0,2060.0,2105.0,+1.7%,,,,
005290,동진쎄미켐,57700,52322,+10.3%,0.6x,7/7,Double Bottom,,,,,,KOSDAQ,45150.0,44000.0,55000.0,+4.9%,,,,
058610,에스피지,132300,120046,+10.2%,0.9x,7/7,Double Bottom,,,,,,KOSDAQ,108400.0,103500.0,135000.0,-2.0%,,,,
036830,솔브레인홀딩스,61000,56947,+7.1%,1.2x,7/7,Double Bottom,,,,,,KOSDAQ,43900.0,45400.0,62400.0,-2.2%,,,,
104830,원익머트리얼즈,49350,46379,+6.4%,0.7x,7/7,Double Bottom,,,,,,KOSDAQ,40600.0,39950.0,49000.0,+0.7%,,,,
110990,디아이티,25200,22151,+13.8%,1.2x,7/7,Double Bottom,,,,,,KOSDAQ,19000.0,18050.0,24550.0,+2.6%,,,,
114810,한솔아이원스,16250,15906,+2.2%,0.5x,7/7,Double Bottom,,,,,,KOSDAQ,12870.0,12730.0,15600.0,+4.2%,,,,
094360,칩스앤미디어,17990,17040,+5.6%,0.6x,6/7,Double Bottom,,,,,,KOSDAQ,14550.0,15240.0,17270.0,+4.2%,,,,
054210,이랜텍,11490,11007,+4.4%,0.4x,7/7,Double Bottom,,,,,,KOSDAQ,9590.0,9620.0,11540.0,-0.4%,,,,
353810,이지바이오,7160,7381,-3.0%,0.4x,6/7,Double Bottom,,,,,,KOSDAQ,6600.0,6840.0,7220.0,-0.8%,,,,
122990,와이솔,7500,7211,+4.0%,0.6x,7/7,Double Bottom,,,,,,KOSDAQ,6510.0,6240.0,7610.0,-1.4%,,,,
322180,LS티라유텍,8770,8059,+8.8%,0.7x,7/7,Double Bottom,,,,,,KOSDAQ,6890.0,6730.0,8380.0,+4.7%,,,,
037070,파세코,9110,8732,+4.3%,1.2x,7/7,Double Bottom,,,,,,KOSDAQ,8130.0,8330.0,8740.0,+4.2%,,,,
417500,제이아이테크,5170,4835,+6.9%,1.9x,6/7,Double Bottom,,,,,,KOSDAQ,4400.0,4580.0,5040.0,+2.6%,,,,
101330,모베이스,5370,4848,+10.8%,3.5x,6/7,Double Bottom,,,,,,KOSDAQ,4530.0,4335.0,5220.0,+2.9%,,,,
007820,엠엑스로보틱스,5710,5135,+11.2%,1.4x,7/7,Double Bottom,,,,,,KOSDAQ,4480.0,4500.0,5600.0,+2.0%,,,,
126640,화신정공,1713,1536,+11.5%,2.3x,7/7,Flat Base Breakout,,,,,,KOSDAQ,,,,,1686.0,12.3%,+1.6%,False
119500,포메탈,4340,4138,+4.9%,1.0x,7/7,Double Bottom,,,,,,KOSDAQ,3845.0,3705.0,4370.0,-0.7%,,,,
153490,우리이앤엘하루틴,834,814,+2.4%,0.4x,7/7,Double Bottom,,,,,,KOSDAQ,720.0,756.0,795.0,+4.9%,,,,
