ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,range1,range2,range3,contraction,vol_contraction,market,bottom1,bottom2,neckline,dist_from_neckline,box_high,box_range,breakout,pivot_dryup,pivot_price,distance,vol_dryup
105560,KB금융,155600,153618,+1.3%,1.2x,7/7,VCP,25.4%,14.1%,10.0%,39% of initial,True,KOSPI,,,,,,,,,,,
055550,신한지주,95100,95278,-0.2%,1.2x,6/7,VCP + Double Bottom,23.7%,14.5%,8.4%,36% of initial,True,KOSPI,88500.0,87700.0,97900.0,-2.9%,,,,,,,
096770,SK이노베이션,123500,123698,-0.2%,1.3x,6/7,Double Bottom,,,,,,KOSPI,109000.0,105600.0,126500.0,-2.4%,,,,,,,
007660,이수페타시스,128000,124624,+2.7%,1.0x,7/7,Double Bottom,,,,,,KOSPI,98800.0,98000.0,129500.0,-1.2%,,,,,,,
271560,오리온,141000,134534,+4.8%,1.2x,7/7,Double Bottom,,,,,,KOSPI,123600.0,127000.0,137800.0,+2.3%,,,,,,,
022100,포스코DX,33700,32770,+2.8%,3.3x,7/7,Double Bottom,,,,,,KOSPI,28850.0,29450.0,33650.0,+0.1%,,,,,,,
001450,현대해상,33350,30586,+9.0%,2.8x,7/7,Double Bottom + Flat Base Breakout,,,,,,KOSPI,29200.0,29600.0,32150.0,+3.7%,33300.0,12.7%,+0.2%,False,,,
003690,코리안리,13130,12539,+4.7%,5.3x,6/7,Flat Base Breakout,,,,,,KOSPI,,,,,12690.0,10.8%,+3.5%,True,,,
417310,코람코더원리츠,10010,9845,+1.7%,1.7x,7/7,VCP,17.3%,12.5%,6.1%,35% of initial,True,KOSPI,,,,,,,,,,,
000430,대원강업,4675,4155,+12.5%,15.1x,7/7,Flat Base Breakout,,,,,,KOSPI,,,,,4525.0,12.6%,+3.3%,True,,,
007980,TP,2035,1960,+3.8%,1.5x,7/7,Double Bottom,,,,,,KOSPI,1734.0,1755.0,1940.0,+4.9%,,,,,,,
33637K,솔루스첨단소재1우,2170,2202,-1.5%,0.1x,6/7,Double Bottom,,,,,,KOSPI,1984.0,2060.0,2105.0,+3.1%,,,,,,,
110990,디아이티,24350,22338,+9.0%,2.8x,7/7,Double Bottom,,,,,,KOSDAQ,19000.0,18050.0,24550.0,-0.8%,,,,,,,
230240,에치에프알,31700,28937,+9.5%,0.5x,7/7,Double Bottom,,,,,,KOSDAQ,26000.0,25200.0,30850.0,+2.8%,,,,,,,
036200,유니셈,10950,10542,+3.9%,0.9x,7/7,Double Bottom,,,,,,KOSDAQ,8590.0,8520.0,10720.0,+2.1%,,,,,,,
049070,인탑스,18890,17920,+5.4%,1.6x,7/7,Double Bottom,,,,,,KOSDAQ,15380.0,15980.0,18660.0,+1.2%,,,,,,,
054210,이랜텍,11300,11058,+2.2%,0.9x,7/7,Double Bottom,,,,,,KOSDAQ,9590.0,9620.0,11540.0,-2.1%,,,,,,,
098120,마이크로컨텍솔,30150,31564,-4.5%,5.4x,6/7,Double Bottom,,,,,,KOSDAQ,25900.0,26800.0,29350.0,+2.7%,,,,,,,
101170,우림피티에스,15240,13976,+9.0%,0.6x,6/7,Double Bottom,,,,,,KOSDAQ,12230.0,12230.0,14680.0,+3.8%,,,,,,,
322180,LS티라유텍,8250,8097,+1.9%,1.8x,7/7,Double Bottom,,,,,,KOSDAQ,6890.0,6730.0,8380.0,-1.6%,,,,,,,
037070,파세코,8610,8754,-1.7%,1.0x,6/7,Double Bottom,,,,,,KOSDAQ,8130.0,8330.0,8740.0,-1.5%,,,,,,,
021080,에이티넘인베스트,3130,3192,-1.9%,1.4x,6/7,Double Bottom,,,,,,KOSDAQ,2810.0,2845.0,3115.0,+0.5%,,,,,,,
217190,제너셈,6550,6542,+0.1%,1.4x,6/7,Double Bottom,,,,,,KOSDAQ,5030.0,5120.0,6440.0,+1.7%,,,,,,,
043590,웰킵스하이텍,795,688,+15.5%,0.0x,6/7,Pivot Setup,,,,,,KOSDAQ,,,,,,,,,795.0,+0.0%,0.0x avg
