ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,range1,range2,range3,contraction,vol_contraction,box_high,box_range,breakout,pivot_dryup,pivot_price,distance,vol_dryup
096770,SK이노베이션,123300,123634,-0.3%,0.6x,6/7,Double Bottom,109000.0,105600.0,126500.0,-2.5%,KOSPI,,,,,,,,,,,,
007660,이수페타시스,131500,124942,+5.2%,0.7x,7/7,Double Bottom,98800.0,98000.0,129500.0,+1.5%,KOSPI,,,,,,,,,,,,
271560,오리온,136200,134776,+1.1%,1.4x,7/7,Double Bottom,123600.0,127000.0,137800.0,-1.2%,KOSPI,,,,,,,,,,,,
022100,포스코DX,33800,32800,+3.0%,1.2x,7/7,Double Bottom,28850.0,29450.0,33650.0,+0.4%,KOSPI,,,,,,,,,,,,
000400,롯데손해보험,2160,2101,+2.8%,1.0x,7/7,Double Bottom,2000.0,2090.0,2195.0,-1.6%,KOSPI,,,,,,,,,,,,
417310,코람코더원리츠,9950,9860,+0.9%,0.6x,7/7,VCP,,,,,KOSPI,17.2%,10.4%,6.1%,35% of initial,True,,,,,,,
000050,경방,10620,9574,+10.9%,4.0x,7/7,Flat Base Breakout,,,,,KOSPI,,,,,,10450.0,15.0%,+1.6%,False,,,
244920,에이플러스에셋,11280,11058,+2.0%,3.6x,6/7,Double Bottom,10400.0,10030.0,11440.0,-1.4%,KOSPI,,,,,,,,,,,,
007980,TP,1985,1962,+1.1%,1.0x,7/7,Double Bottom,1734.0,1755.0,1940.0,+2.3%,KOSPI,,,,,,,,,,,,
33637K,솔루스첨단소재1우,2160,2206,-2.1%,0.1x,6/7,Double Bottom,1984.0,2060.0,2105.0,+2.6%,KOSPI,,,,,,,,,,,,
005290,동진쎄미켐,56100,52667,+6.5%,0.8x,7/7,Double Bottom,45150.0,44000.0,55000.0,+2.0%,KOSDAQ,,,,,,,,,,,,
347700,스피어,48150,45185,+6.6%,3.3x,6/7,Double Bottom,39450.0,39700.0,47200.0,+2.0%,KOSDAQ,,,,,,,,,,,,
036200,유니셈,11000,10564,+4.1%,0.6x,7/7,Double Bottom,8590.0,8520.0,10720.0,+2.6%,KOSDAQ,,,,,,,,,,,,
049070,인탑스,19080,17957,+6.3%,1.1x,7/7,Double Bottom,15380.0,15980.0,18660.0,+2.3%,KOSDAQ,,,,,,,,,,,,
054210,이랜텍,11500,11084,+3.8%,0.8x,7/7,Double Bottom,9590.0,9620.0,11540.0,-0.3%,KOSDAQ,,,,,,,,,,,,
353810,이지바이오,7100,7395,-4.0%,1.5x,6/7,Double Bottom,6600.0,6840.0,7220.0,-1.7%,KOSDAQ,,,,,,,,,,,,
122990,와이솔,8440,7275,+16.0%,17.5x,7/7,Flat Base Breakout,,,,,KOSDAQ,,,,,,8090.0,12.4%,+4.3%,False,,,
102120,어보브반도체,12500,12268,+1.9%,0.3x,6/7,Double Bottom,9920.0,10230.0,12160.0,+2.8%,KOSDAQ,,,,,,,,,,,,
101170,우림피티에스,14570,13974,+4.3%,0.3x,6/7,Double Bottom,12230.0,12230.0,14680.0,-0.7%,KOSDAQ,,,,,,,,,,,,
021080,에이티넘인베스트,3130,3191,-1.9%,0.6x,6/7,Double Bottom,2810.0,2845.0,3115.0,+0.5%,KOSDAQ,,,,,,,,,,,,
464680,KB제27호스팩,2105,2087,+0.9%,1.2x,6/7,Pivot Setup,,,,,KOSDAQ,,,,,,,,,,2100.0,+0.2%,0.8x avg
043590,웰킵스하이텍,795,691,+14.9%,0.0x,6/7,Pivot Setup,,,,,KOSDAQ,,,,,,,,,,795.0,+0.0%,0.0x avg
