ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,range1,range2,range3,contraction,vol_contraction,pivot_price,distance,vol_dryup
003670,포스코퓨처엠,224000,227614,-1.6%,0.7x,6/7,Double Bottom,185200.0,186400.0,215500.0,+3.9%,KOSPI,,,,,,,,
271560,오리온,137600,134998,+1.9%,1.2x,7/7,Double Bottom,123600.0,127000.0,137800.0,-0.1%,KOSPI,,,,,,,,
018880,한온시스템,4550,4255,+6.9%,0.4x,7/7,Double Bottom,3680.0,3720.0,4400.0,+3.4%,KOSPI,,,,,,,,
003690,코리안리,14210,12594,+12.8%,2.1x,7/7,Double Bottom,12360.0,11800.0,13710.0,+3.6%,KOSPI,,,,,,,,
000400,롯데손해보험,2275,2103,+8.1%,3.5x,7/7,Double Bottom,2000.0,2090.0,2195.0,+3.6%,KOSPI,,,,,,,,
417310,코람코더원리츠,10160,9878,+2.8%,0.9x,7/7,VCP,,,,,KOSPI,17.2%,10.4%,6.1%,35% of initial,True,,,
244920,에이플러스에셋,11650,11034,+5.6%,2.2x,6/7,Double Bottom,10400.0,10030.0,11440.0,+1.8%,KOSPI,,,,,,,,
007980,TP,1926,1963,-1.9%,0.9x,6/7,Double Bottom,1734.0,1755.0,1940.0,-0.7%,KOSPI,,,,,,,,
33637K,솔루스첨단소재1우,2135,2209,-3.4%,0.0x,6/7,Double Bottom,1984.0,2060.0,2105.0,+1.4%,KOSPI,,,,,,,,
005290,동진쎄미켐,57600,52719,+9.3%,1.2x,7/7,Double Bottom,45150.0,44000.0,55000.0,+4.7%,KOSDAQ,,,,,,,,
347700,스피어,46900,45197,+3.8%,2.3x,6/7,Double Bottom,39450.0,39700.0,47200.0,-0.6%,KOSDAQ,,,,,,,,
098460,고영,34550,32387,+6.7%,0.3x,7/7,Double Bottom,25550.0,24450.0,33100.0,+4.4%,KOSDAQ,,,,,,,,
036540,SFA반도체,7840,7451,+5.2%,0.5x,7/7,Double Bottom,6030.0,5990.0,7500.0,+4.5%,KOSDAQ,,,,,,,,
425040,티이엠씨,25850,14636,+76.6%,1.1x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,,25750.0,+0.4%,0.6x avg
110990,디아이티,25450,22463,+13.3%,0.8x,7/7,Double Bottom,19000.0,18050.0,24550.0,+3.7%,KOSDAQ,,,,,,,,
049070,인탑스,18650,17971,+3.8%,0.7x,7/7,Double Bottom,15380.0,15980.0,18660.0,-0.1%,KOSDAQ,,,,,,,,
054210,이랜텍,11580,11105,+4.3%,0.5x,7/7,Double Bottom,9590.0,9620.0,11540.0,+0.3%,KOSDAQ,,,,,,,,
019010,베뉴지,5300,5084,+4.2%,0.5x,7/7,Double Bottom,4880.0,4895.0,5140.0,+3.1%,KOSDAQ,,,,,,,,
353810,이지바이오,7010,7394,-5.2%,0.6x,6/7,Double Bottom,6600.0,6840.0,7220.0,-2.9%,KOSDAQ,,,,,,,,
013310,아진산업,3425,3383,+1.2%,0.2x,6/7,Double Bottom,2860.0,2995.0,3355.0,+2.1%,KOSDAQ,,,,,,,,
094860,네오리진,1459,1419,+2.8%,0.5x,7/7,Double Bottom,1367.0,1400.0,1501.0,-2.8%,KOSDAQ,,,,,,,,
043590,웰킵스하이텍,795,695,+14.3%,0.0x,6/7,Pivot Setup,,,,,KOSDAQ,,,,,,795.0,+0.0%,0.0x avg
