ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,range1,range2,range3,contraction,vol_contraction,market,bottom1,bottom2,neckline,dist_from_neckline,pivot_price,distance,vol_dryup
105560,KB금융,151700,153988,-1.5%,1.0x,6/7,VCP,25.8%,16.5%,9.5%,37% of initial,True,KOSPI,,,,,,,
271560,오리온,134600,135170,-0.4%,0.9x,6/7,Double Bottom,,,,,,KOSPI,123600.0,127000.0,137800.0,-2.3%,,,
018880,한온시스템,4355,4264,+2.1%,0.3x,7/7,Double Bottom,,,,,,KOSPI,3680.0,3720.0,4400.0,-1.0%,,,
003690,코리안리,13910,12621,+10.2%,1.0x,7/7,Double Bottom,,,,,,KOSPI,12360.0,11800.0,13710.0,+1.5%,,,
417310,코람코더원리츠,10160,9897,+2.7%,1.5x,7/7,VCP,17.1%,10.4%,6.1%,36% of initial,True,KOSPI,,,,,,,
244920,에이플러스에셋,11750,11019,+6.6%,1.3x,6/7,Double Bottom,,,,,,KOSPI,10400.0,10030.0,11440.0,+2.7%,,,
077500,유니퀘스트,6820,6672,+2.2%,0.2x,6/7,Double Bottom,,,,,,KOSPI,5490.0,5640.0,6540.0,+4.3%,,,
005290,동진쎄미켐,55700,52846,+5.4%,0.5x,7/7,Double Bottom,,,,,,KOSDAQ,45150.0,44000.0,55000.0,+1.3%,,,
098460,고영,33850,32474,+4.2%,0.3x,7/7,Double Bottom,,,,,,KOSDAQ,25550.0,24450.0,33100.0,+2.3%,,,
036540,SFA반도체,7780,7471,+4.1%,0.3x,7/7,Double Bottom,,,,,,KOSDAQ,6030.0,5990.0,7500.0,+3.7%,,,
110990,디아이티,24000,22515,+6.6%,0.8x,7/7,Double Bottom,,,,,,KOSDAQ,19000.0,18050.0,24550.0,-2.2%,,,
230240,에치에프알,30450,29724,+2.4%,0.8x,7/7,Double Bottom,,,,,,KOSDAQ,26000.0,25200.0,30850.0,-1.3%,,,
265520,AP시스템,24500,23229,+5.5%,0.4x,7/7,Double Bottom,,,,,,KOSDAQ,19300.0,19010.0,23800.0,+2.9%,,,
049070,인탑스,18420,17993,+2.4%,0.5x,7/7,Double Bottom,,,,,,KOSDAQ,15380.0,15980.0,18660.0,-1.3%,,,
019010,베뉴지,5080,5092,-0.3%,0.6x,6/7,Double Bottom,,,,,,KOSDAQ,4880.0,4895.0,5140.0,-1.2%,,,
353810,이지바이오,7200,7400,-2.7%,1.0x,6/7,Double Bottom,,,,,,KOSDAQ,6600.0,6840.0,7220.0,-0.3%,,,
382480,지아이텍,2475,2508,-1.3%,0.4x,6/7,Double Bottom,,,,,,KOSDAQ,2080.0,2130.0,2365.0,+4.7%,,,
043590,웰킵스하이텍,795,699,+13.7%,0.0x,6/7,Pivot Setup,,,,,,KOSDAQ,,,,,795.0,+0.0%,0.0x avg
