ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,box_high,box_range,breakout,pivot_dryup,pivot_price,distance,vol_dryup
105560,KB금융,173300,167862,+3.2%,3.1x,6/7,Double Bottom,160100.0,160000.0,175800.0,-1.4%,KOSPI,,,,,,,
055550,신한지주,108900,103700,+5.0%,1.6x,7/7,Double Bottom,98300.0,101100.0,110000.0,-1.0%,KOSPI,,,,,,,
086790,하나금융지주,136300,126974,+7.3%,2.0x,7/7,Double Bottom + Flat Base Breakout,120400.0,123400.0,134700.0,+1.2%,KOSPI,136200.0,11.6%,+0.1%,True,,,
000810,삼성화재,665000,640640,+3.8%,1.0x,7/7,Double Bottom,587000.0,611000.0,648000.0,+2.6%,KOSPI,,,,,,,
180640,한진칼,133000,119054,+11.7%,0.7x,6/7,Pivot Setup,,,,,KOSPI,,,,,132500.0,+0.4%,0.7x avg
021240,코웨이,96900,93320,+3.8%,0.9x,7/7,Double Bottom,90600.0,93400.0,98200.0,-1.3%,KOSPI,,,,,,,
161890,한국콜마,160100,112190,+42.7%,0.9x,7/7,Pivot Setup,,,,,KOSPI,,,,,161900.0,-1.1%,0.8x avg
294870,IPARK현대산업개발,23400,20226,+15.7%,0.7x,6/7,Pivot Setup,,,,,KOSPI,,,,,23300.0,+0.4%,0.7x avg
317400,자이에스앤디,11570,6808,+69.9%,0.5x,7/7,Pivot Setup,,,,,KOSPI,,,,,11560.0,+0.1%,0.6x avg
077500,유니퀘스트,7950,6101,+30.3%,2.2x,6/7,Pivot Setup,,,,,KOSPI,,,,,8000.0,-0.6%,0.7x avg
465320,교보15호스팩,2135,2109,+1.2%,1.1x,6/7,Pivot Setup,,,,,KOSDAQ,,,,,2135.0,+0.0%,0.5x avg
