ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
111770,영원무역,89600,2.4x,+6.8%,Effort vs Result,Effort vs Result,bullish
005850,에스엘,71900,2.5x,+15.8%,Effort vs Result,Effort vs Result,bullish
001450,현대해상,33350,2.6x,+9.0%,Effort vs Result,Effort vs Result,bullish
007070,GS리테일,29450,2.9x,+32.4%,Effort vs Result,Effort vs Result,bullish
004370,농심,399000,3.3x,+5.9%,Effort vs Result,Effort vs Result,bullish
003690,코리안리,13130,4.3x,+4.7%,Effort vs Result,Effort vs Result,bullish
001800,오리온홀딩스,28300,8.5x,+16.4%,Effort vs Result,Effort vs Result,bullish
010780,아이에스동서,30400,2.6x,+7.2%,Effort vs Result,Effort vs Result,bullish
030190,NICE평가정보,14880,2.5x,-6.5%,Effort vs Result,Effort vs Result,bullish
069260,TKG휴켐스,20100,5.6x,+11.0%,Effort vs Result,Effort vs Result,bullish
005880,대한해운,2490,0.4x,+0.4%,No Supply,No Supply,bullish
002960,한국쉘석유,580000,11.9x,+16.3%,Effort vs Result,Effort vs Result,bullish
005180,빙그레,77500,6.0x,+4.5%,Effort vs Result,Effort vs Result,bullish
383800,LX홀딩스,9160,5.6x,+8.1%,Effort vs Result,Effort vs Result,bullish
017900,광전자,10700,0.2x,+43.6%,No Supply,No Supply,bullish
010820,퍼스텍,11700,0.2x,+12.5%,No Supply,No Supply,bullish
092790,넥스틸,20700,2.8x,+36.9%,Effort vs Result,Effort vs Result,bullish
092220,KEC,1838,0.0x,+14.8%,Testing,Testing,bullish
001230,동국홀딩스,11400,0.0x,+6.9%,Testing,Testing,bullish
001250,GS글로벌,3840,0.5x,+12.9%,No Supply,No Supply,bullish
033270,유나이티드제약,19740,1.5x,-2.1%,Stopping Volume,Stopping Volume,bullish
017390,서울가스,63000,2.3x,-2.4%,Effort vs Result,Effort vs Result,bullish
134380,미원화학,12400,0.2x,+3.2%,No Supply,No Supply + Testing,bullish
001130,대한제분,156500,0.0x,+3.7%,Testing,Testing,bullish
102460,이연제약,11270,0.5x,+7.3%,No Supply,No Supply,bullish
006060,화승인더,3420,4.7x,+2.3%,Effort vs Result,Effort vs Result,bullish
460850,동국씨엠,6050,0.3x,+3.2%,No Supply,No Supply,bullish
462520,조선내화,14870,2.3x,+4.7%,Effort vs Result,Effort vs Result,bullish
000020,동화약품,6070,2.3x,+1.7%,Effort vs Result,Effort vs Result,bullish
020120,키다리스튜디오,3600,0.5x,+1.2%,No Supply,No Supply,bullish
001020,페이퍼코리아,674,0.0x,+1.8%,Testing,Testing,bullish
264900,크라운제과,8610,2.1x,+1.3%,Effort vs Result,Effort vs Result,bullish
085310,엔케이,1169,0.0x,+4.5%,Testing,Testing,bullish
003010,혜인,6230,0.1x,+2.0%,No Supply,No Supply,bullish
027740,마니커,821,0.0x,+0.3%,Testing,Testing,bullish
026940,부국철강,2405,0.1x,+1.7%,No Supply,No Supply,bullish
005320,온타이드,588,0.0x,+9.0%,Testing,Testing,bullish
024890,대원화성,906,0.0x,+10.1%,Testing,Testing,bullish
069640,한세엠케이,1613,16.9x,+28.1%,Effort vs Result,Effort vs Result,bullish
